كاظم الساهر وصل لمكان صعب او مستحيل احد يوصله بالفن.. لهيج رح نشوف ناس مضغوطين منه و حساد لمحبة الجماهير له.,N,,,,,,,,,,,,,,,,,N
يروحون فدوة للقيصر,P,,,,,,,,,,,,,,,,,P
عيب وكافي كره العراق حرام عليكم  كافي الي همه  بي  يامن  تد عون دول    عربيه,N,,,,,,,,,,,,,,,,,N
لاخافو الله بكاظم الساهر  انتم مجرد غيره ومو كاضم الي حتل الكويت,N,,,,,,,,,,,,,,,,,N
الفنان كاظم الساهر مايجي وراح يجي احد مثله,N,,,,,,,,,,,,,,,,,N
ههههههههههه والله انت اغبى خلوق تقارن نفسك بكاظموكلهم غيرانين من كاظم والله اصواتهم موحلوة بس كاظم,N,,,,,,,,,,,,,,,,,N
اي اكيددد يكرهون كاظم الساهر لانو عراقي جنسيه,N,,,,,,,,,,,,,,,,,N
اوجوهم اوجوه موتة او يحجون على القيصر او ذاك اكول البرتقالة جميلة يا اخي وان ذوقك,N,,,,,,,,,,,,,,,,,N
"من
1
2
3
4
5
6
7
8
9
10
كلهم تافهين او ميوصلون للمستوى الكاضم الساهر",P,,,,,,,,,,,,,,,,,P
كاظم الساهر فنان كبير كبير واستاذ وعلم من اعلام الفن العراقي والعربي,N,,,,,,,,,,,,,,,,,N
2 هاي شدتحس,N,,,,,,,,,,,,,,,,,N
"الکویت أول من صنع کاظم 
بعدها لبنان ثم مصر 
و فعلا کاظم ناکر للجمیل 
و ممثل و متصنع",N,,,,,,,,,,,,,,,,,N
اقسمت بالله المذيعه الكويتيه القبيحه ذي مريضه,P,,,,,,,,,,,,,,,,,P
ناس يقولون طلع من لبنان وناس يقولون طلع واشتهر من الكويت ؟؟  كس امكم كاظم طلع بفنه المبدع حبيبنا ومن اشد معجبينه من السعودية,N,,,,,,,,,,,,,,,,,N
گاظم الساهر تاج راسكم يااهل الخليج منو محمدعبدواصلافنان تعبان ومحديسمعه بس الي مثله لونبيل شعيل لوالي يكول على صوت كاظم تافه اصلالاانت ولاعشيرتك تجون القندرة كاظم مخابيل كاظم صنع نفسه بنفسة فنان موهوب ومحبوب ولكل يسمعه بس انتومن ايكلبكم تافهين وغيراين على كولت احلام مقهورين من القيصر ياحثاله المجتع الي يغار منه يحجي عليه انت منواصلا متسون فلس,P,,,,,,,,,,,,,,,,,P
هههههههه والله مسببلهم عقده هاذا كاظم الساهر,N,,,,,,,,,,,,,,,,,N
كاضم نجم متميز بس كل الي طلعو حقودين 😂,N,,,,,,,,,,,,,,,,,N
ابوس ربك,N,,,,,,,,,,,,,,,,,N
الي صنع كاضم الساهر هو نزار القباني لا كويت ولالبنان ولا حتى السودان,N,,,,,,,,,,,,,,,,,N
"WTF  كل من هب و دب صنع كاظم الساهر 😂😂😂😂😂
كاظم الساهر صنعه تعبه على نفسه",N,,,,,,,,,,,,,,,,,N
"هسه مندري منو صاحب الفضل  على كاظم.. الكويت ..مصر.لبنان.هههه والله ياالله 
وكل الي حجو عليه مابيهم حظ ولايجون لاظفره ولاللفن القدمه .",N,,,,,,,,,,,,,,,,,N
كاظم الساهر ارقى فنان وابد مااساء الادب لاي فنان بس هذوله اليكرهو يحجون عليه لان حقودين وخاصة جورج ومحمد عبده يغارون منه بصوره مو طبيعيه,N,,,,,,,,,,,,,,,,,N
شنو هل حقد لان كاظم الناس وكبار الفنانين لقبوا بل قيصر وانتو الي اطلقتوا اللقاب ع انفسكم,N,,,,,,,,,,,,,,,,,N
ان لم يكن لديك اعداء فعلم انك فاشل ........استمر كاظم انت رفعة راس للعراقيين,N,,,,,,,,,,,,,,,,,N
سخيفين. جدا هؤلاء الناس,P,,,,,,,,,,,,,,,,,P
كاظم ناجح بكل المقاييس شئتم ام ابيتم....واللي ينكر اكيد بيغااااااار,N,,,,,,,,,,,,,,,,,N
مقهورين ياحراااااااااااااااااااااااااااام,N,,,,,,,,,,,,,,,,,N
بلله احد يكلي هاذه الحمار اخر واحد شنو اسمه اشو معاجبه احد ولله حت ما اعرفه اني 😂😅,P,,,,,,,,,,,,,,,,,P
خرب يومكم يلكويتين مضغوطين من العراق حقهم مينسون صدام مسح بكرامتهم الكاع ونضال الاحمديه مال واحد يكص السانهة,N,,,,,,,,,,,,,,,,,N
مقهورين من القيصر كاظم الساهر,N,,,,,,,,,,,,,,,,,N
بصراحة تفاجئت متوقعت اكو ناس تحجي على كاظم,N,,,,,,,,,,,,,,,,,N
الصحافة كل غردها تشعل النار,N,,,,,,,,,,,,,,,,,N
بقول للي طرع برقم 1 روح شلح البرداية اللي لابسها وبعدين تعا حكي هههههههههههههههههه,N,,,,,,,,,,,,,,,,,N
"لعما صارو كللن هنن اللي صنعوهواي صوتو حلو وأغانيو حلوين غصبا عن الكلفعلا حرب إعلامية على هالزلمةلا وهداك بطيخ يقول لو كان صوتو احلى شوي يعني اللي شوفك رح يفكر انو انت صوتك يشل صوتك رائع ومافي متلو
اي ليش انت مين يسمعلك بالأصل",N,,,,,,,,,,,,,,,,,N
كل هذا وكاظم لم يرد كم انت رائع يا قيصر ..,N,,,,,,,,,,,,,,,,,N
الكل طلعوا افضال على كاظم 😂😂😂,N,,,,,,,,,,,,,,,,,N
موتو...نجم وغصبن عليكم😌,N,,,,,,,,,,,,,,,,,N
كلهم الي حجو عله كاضم الساهر يغارون منه وماكو احد مسوي فضل عليه.  بجهوده صار فنان وتوفق من ربه وبجوده صار محد اله فضل عليه ناس هاي من قهرهم يحجون عليه وغيرتهم منه.  مع الاسف والله يحجون عليه هيج.  وهذولي كولهم اكيد،..عدهم شي ويا لما هيج ميحجون مع احترمي اكيد ولك كل الاحترم وتقدير فنانه القدير كاظم الساهر,N,,,,,,,,,,,,,,,,,N
هم يغارون منه,N,,,,,,,,,,,,,,,,,N
ساعه يقولون لبنان سوت كاضم الساهر وساعة يكلون كويت شدخل الفنان صوت حلو وصار مغني لالكويت ولالبنان ·,N,,,,,,,,,,,,,,,,,N
فديو رقم 2  .  كأنها سكرانه أو محششه,N,,,,,,,,,,,,,,,,,N
الذليل ان كاطم ساهر نجح بصوتخ هو انني لست عربيه ومعا ذلك استمع له,N,,,,,,,,,,,,,,,,,N
احبك يا كاظم الساهر 😍😍😘😘,N,,,,,,,,,,,,,,,,,N
"هههههه والله انتم غايرين من كاظم 
لان كاظم صوته واحساسى يفوووق عن بايقي المطربين .. يا قيصر الفنانين تبقى في قلوبنا",N,,,,,,,,,,,,,,,,,N
اذا كاظم الساهر ما يعرف يغني و صوته تافه و ما عنده احساس و كل شخص يقول انا لي الفضل اني شهرت كاظم الساهر طيب يا جماعة الخير اذا كاظم لهالدرجه ما عندي اي شي ليش مشهور لدرجة انا شفت ناس في الفيدو اول مره اشوفهم و كاظم الساهر انا من صغري اعرفه ...و مثل ما قالت احلام موتو قهر من الملكه  ههههه,N,,,,,,,,,,,,,,,,,N
مقهوورييييييين من القيصر,N,,,,,,,,,,,,,,,,,N
سخافة,P,,,,,,,,,,,,,,,,,P
هذا منو الي انتقذ كاظم. الي يكول كاظم.  داينزل لتحت.  ويدعي عليه اول مره. اشوفه ولا اعرفه اصلا,N,,,,,,,,,,,,,,,,,N
مقهورين.    موتوووو بدوودتكم.   موووتوووووو من غيرتكم,N,,,,,,,,,,,,,,,,,N
كاظم الساهر صوتو احلى من كل الي عم يحكوا عنو,N,,,,,,,,,,,,,,,,,N
ضاغطهم والقرآن,N,,,,,,,,,,,,,,,,,N
طلعوا كلهم مطلعينه ههههههه,N,,,,,,,,,,,,,,,,,N
عزه هذولي شنو شكد يغارون من كاظم الساهر وبعدين هية شنو الكويت حتة يدخلهة,N,,,,,,,,,,,,,,,,,N
جورج وسوف كاظم اكيييد بحكيلك مرحبا بس انت بتكون محشش ما بتتزكر 😂😂😂😂😂😂😂,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
انسان راقي بـ كل ما تحمل الكلمه من معنى كاضم,N,,,,,,,,,,,,,,,,,N
فديته الكاضم حبيبي😍✌,N,,,,,,,,,,,,,,,,,N
ما بحب صوت كاظم ساهر ولا احب اغانيه اصلآ صوته ضعيف مثل ما قالو وهو عايش في المغرب والكويت لاكن احبه الانه سني كل وحد وله ذوقه في الاغاني بس ما بحب صوت كاظم ولا تستغربون من العراقي لي كعد يهجمه هو شيعي طبيعي عندهم شيعة يظلمون ويحقدون على اهل السنة الله ينصرهم ويذلكم ياشيعة يا ابناء المتعة منافقين دواعش,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,P,,,,,,,,,,,,,,,,,P
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
,N,,,,,,,,,,,,,,,,,N
نجم وتاج راس المطربين,N,,,,,,,,,,,,,,,,,N
"استغفرالله العظيم 
ليش هل حقد ولكره لكاظم الساهر ...حبيب كلبي تروحوله فدوة كلللللللكم",N,,,,,,,,,,,,,,,,,N
اعداء النجاح شي طبيعي 😌😌😌,N,,,,,,,,,,,,,,,,,N
مظغوطين من كاظم لان احسن منهم😏,N,,,,,,,,,,,,,,,,,N
تروحود فدوه الكاضم الساهر مضغوطين منه,N,,,,,,,,,,,,,,,,,N
بالعكس كاظم إنسان راقي؛وبفضله وصل الفن العراقي للعالم العربي,N,,,,,,,,,,,,,,,,,N
"كاظم الساهر الوحيد. 
الوحيد. النجم الفنان الخلوق كولها تتكلم ع بسوء وهو نهائيا ميرد ولا يجاوب ولا يحقد",N,,,,,,,,,,,,,,,,,N
"اشو كلمن يحجي يكول اني طلعته من بلدي واني سويته نجم 
ليش الفنانين النجوم كولهم طلعوا من بلادهم نجوم كولهم كانوا حثالات وصاروا نجوم 

وكاظم الساهر نجح باخلاقه وكرامته وعراقيته وصوته واختياراته 
ياحقودين يـِْ♡̨ـِْا اعداء النجاح",P,,,,,,,,,,,,,,,,,P
تغاااااارون,N,,,,,,,,,,,,,,,,,N
الهام المدفعي وكاظم الساهر ماكو صوت وتافه صوتهم هااا لحضه هو منو هاذ ترا ماعرفه اكول انطم احسن,P,,,,,,,,,,,,,,,,,P
يا ناس فهموني الكويت شنو لك نبيل وهاي الثانية الي تتكلم اصلا ما اعرفها هههههه ترة انتم راجعين للعراق الكويت ابن عاق للعراق بس يا حرام اكيد الاضفر ما يطلع من اللحم راح نعطيكم عذر ههههههههههه نسيتو لما انهزمتو بعبي حريمكم لكم بساعة دخلنة بيكم كوووووووول هاهاهاهاها,N,,,,,,,,,,,,,,,,,N
اعوذبالله من الحقد الآدمي في حالو ولا جاب خبركم.,N,,,,,,,,,,,,,,,,,N
ولو اني مو من عشاق كاظم الساهر  بس غيرتي العراقيه متسمحلي اشوف هيج تحجون عنه وشكو واحد يحجي عنه يروح فدوه الشعره من شعر راسه,N,,,,,,,,,,,,,,,,,N
"الحين انا اسوي لايك ولا ديس لايك 
القناة حلوووة واللي ينتقدون كاظم بعطيهم ديس لايك.بعلق بس يكفي",N,,,,,,,,,,,,,,,,,N
كاظم انسان وفنان مبدع ومتواظع قمه الخلاق ولانسانيه وال يحجي عليه اكيد يغار منه ويحاول يسقطه هو بس جمهور كاظم يكدر يسقط دوله الكويت #القيصر,N,,,,,,,,,,,,,,,,,N
كاظم ياضاغطهم ههه,N,,,,,,,,,,,,,,,,,N
والله كلكم تغارون من كاطم لانه احسن منكم تحياتي للقيصر من كوردستان,N,,,,,,,,,,,,,,,,,N
مضغوطين الشباب ههههههه,N,,,,,,,,,,,,,,,,,N
مقهوووورين من القيصر 😂,N,,,,,,,,,,,,,,,,,N
مضغوطييييييين ههههههههه,N,,,,,,,,,,,,,,,,,N
ليش كلهم بعيرو كاظم انه كان فقير وانطلق ما عنده فلس،هذا مو عيب بالعكس هذا شرف له انه صنع نفسه بنفسه،اصلا كاظم متربي ومتخلق متواضع وانسان مثقف كتير،حبيب قلبي كاظم يا جبل ما يهزك ريح،انت قيصرهم,N,,,,,,,,,,,,,,,,,N
اقول بلا كاظم بلا فنانين العرب كلهم ميشيل تيلو وبس 🌚,N,,,,,,,,,,,,,,,,,N
اذا جاءتك مذمتي من ناقص فهي شهادة لي بأني كامل ...ناس تافهة كاظم كبير مو محتاجة شهادة احد تحية لك من معجبة بأغانيك من الجزائر,P,,,,,,,,,,,,,,,,,P
البرتقاله جميله سوده بوجهك,P,,,,,,,,,,,,,,,,,P
كاظم فوق الجميع والكل يغار منه .. صوته بجنن كله احساس وصوت حزين مؤثر.. كلهم مقهورين منو,N,,,,,,,,,,,,,,,,,N
احلى فنان وأرق فنان وشي عادي يغارون ولا واحد يصلو بعدو بيجي جورج وسوف هو جيل عبد حليم وجيل طالع,N,,,,,,,,,,,,,,,,,N
ناس تحجي على ناس,N,,,,,,,,,,,,,,,,,N
ابو ثرب نبيل اشعبيب,N,,,,,,,,,,,,,,,,,N
اي يردون محمد عبدة فنان العرب باي طريقة طلعو هذا الفديو بعد دول الخليج حاقدين,N,,,,,,,,,,,,,,,,,N
يغارووون,N,,,,,,,,,,,,,,,,,N
"لعد هذوله مطربين 
والله ضحكوووني 
ههههههههه 
تاااااجكم القيصر 
بس اغنية بغداد لا تتالمي يسوئ كل اغانيهم",N,,,,,,,,,,,,,,,,,N
